#
# ASCII IPA (Kirshenbaum) Symbols
#
# Version: 0.0.3
# Date:    2016-05-23
#
# Syntax:
# type,desc,xxxx,y
#
# type = consonant|vowel|diacritic|suprasegmental|tone
# desc = description of the IPA symbol
# xxxx = Unicode hexadecimal code point
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
# y    = hex value 00yy of a single ASCII char or string of ASCII chars
#

#################
#   CONSONANT   #
#################

######################
#   plosive / stop   #
######################

#vowel,near-open central     unrounded,0250 0250_031C
#vowel,near-open central       rounded,0250_0339 025E_031E 0254_031E_0308

#vowel,near-open back        unrounded,???
#vowel,near-open back          rounded,???

############
#   open   #
############

vowel,open      front       unrounded,0061 0061_031F 00E6_031E,a
vowel,open      front         rounded,0276,a.

#vowel,open      central     unrounded,0061_0308 0061_0320 0251_0308 0250_031E
#vowel,open      central       rounded,0252_0308 0276_0308 0276_0320

vowel,open      back        unrounded,0251,A
vowel,open      back          rounded,0252,A.





#################
#   DIACRITIC   #
#################

diacritic,ejective,02BC,0060
#diacritic,tie-bar-above,0361
#diacritic,tie-bar-below,035C
diacritic,voiceless,0325 030A,<o>
diacritic,voiced,032C,<vcd>
diacritic,aspirated,02B0,<h>
#diacritic,more-rounded,0339
#diacritic,less-rounded,031C
#diacritic,advanced,031F
#diacritic,retracted,0320
#diacritic,centralized,0308
#diacritic,mid-centralized,033D
diacritic,syllabic,0329,002D
#diacritic,non-syllabic,032F
#diacritic,rhotacized,02DE
diacritic,breathy-voiced,0324,<?>
#diacritic,creaky-voiced,0330
diacritic,linguolabial,032B,<w>
diacritic,labialized,02B7,<w>
diacritic,palatalized,02B2,003B
diacritic,velarized,02E0,007E
diacritic,pharyngealized,02E4,007E
diacritic,velarized-or-pharyngealized,0334,007E
diacritic,dental,032A,005B
diacritic,nasalized,0303,007E
#diacritic,raised,031D
#diacritic,lowered,031E
#diacritic,advanced-tongue-root,0318
#diacritic,retracted-tongue-root,0319
#diacritic,apical,033A
#diacritic,laminal,033B
#diacritic,nasal-release,N/A
#diacritic,lateral-release,02E1
#diacritic,no-audible-release,031A 02FA

# NOT in IPA chart
diacritic,voiced glottal fricative,02B1,<?>
diacritic,alveolar trill,02B3,<r>
diacritic,glottal plosive,02C0,<?>
diacritic,retroflex,0322,002E
diacritic,unexploded,02DA,<o>
#diacritic,alveolar approximant,02B4
#diacritic,retroflex approximant,02B5
#diacritic,uvular approximant,02B6





######################
#   SUPRASEGMENTAL   #
######################

suprasegmental,primary-stress,02C8,0027
