#
# IPA Symbols
#
# Version: 0.0.8
# Date:    2016-06-07
#
# Syntax:
# desc,unic
#
# desc = description of the IPA symbol
# unic = Unicode hexadecimal code point(s):
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, the first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
#
#
# Notes:
#   1. Articulations believed to be impossible are not listed
voiced    palato-nasal      click           consonant,01C2_0303 1D51_01C2
voiceless alveolar          lateral-click   consonant,01C1 0296
voiced    alveolar          lateral-click   consonant,01C1_032C 1DA2_01C1 0296_032C 1DA2_0296
#voiced    lateral-nasal     click           consonant,01C1_0303 1D51_01C1 0296_0303 1D51_0296
voiceless retroflex         click           consonant,01C3_02DE 203C
voiced    retroflex         click           consonant,01C3_032C_02DE 1DA2_01C3_02DE 203C_032C 1DA2_203C
voiced    retroflex-nasal   click           consonant,01C3_0303_02DE 1D51_01C3_02DE 203C_0303 1D51_203C
voiced    velar             click           consonant,029E
voiced    dento-nasal       click           glottalized consonant,01C0_0303_02C0 1D51_01C0_02C0 1D51_030A_01C0_02C0 0287_0303_02C0 1D51_0287_02C0 1D51_030A_0287_02C0
voiced    alveolo-nasal     click           glottalized consonant,01C3_0303_02C0 1D51_01C3_0361_0294 1D51_01C3_035C_0294 1D51_030A_01C3_02C0 0297_0303_0361_0294 0297_0303_035C_0294 1D51_0297_02C0
voiced    palato-nasal      click           glottalized consonant,01C2_0303_02C0 1D51_01C2_0361_0294 1D51_01C2_035C_0294 1D51_030A_01C2_02C0 1D51_01C2_02C0
#voiced    lateral-nasal     click           glottalized consonant,01C1_0303_02C0 1D51_01C1_0361_0294 1D51_030A_01C1_02C0 0296_0303_035C_0294 1D51_0296_02C0
voiced    alveolo-nasal     click           glottalized consonant,01C3_0303_02DE_02C0 1D51_01C3_02DE_0361_0294 1D51_01C3_02DE_035C_0294 1D51_030A_203C_02C0 1D51_203C_02C0



#################
#   implosive   #
#################

voiceless bilabial   implosive consonant,0253_0325 01A5 0070_02BC_2193
voiced    bilabial   implosive consonant,0253
voiceless alveolar   implosive consonant,0257_0325 01AD 0074_02BC_2193
voiced    alveolar   implosive consonant,0257
voiceless retroflex  implosive consonant,1D91_0325 01AD_0322 0288_02BC_2193
voiced    retroflex  implosive consonant,1D91
voiceless palatal    implosive consonant,0284_030A 0188 0063_02BC_2193
voiced    palatal    implosive consonant,0284
voiceless velar      implosive consonant,0260_030A 0199 006B_02BC_2193
voiced    velar      implosive consonant,0260
voiceless uvular     implosive consonant,029B_0325_2009 02A0 0071_02BC_2193
voiced    uvular     implosive consonant,029B



################
#   ejective   #
################

voiceless bilabial        ejective                      consonant,0070_02BC
voiceless alveolar        ejective                      consonant,0074_02BC
voiceless retroflex       ejective                      consonant,0288_02BC
voiceless palatal         ejective                      consonant,0063_02BC
voiceless velar           ejective                      consonant,006B_02BC
voiceless uvular          ejective                      consonant,0071_02BC
voiceless pharyngeal      ejective                      consonant,02A1_02BC
voiceless labio-dental    ejective                      consonant,0066_02BC
voiceless dental          ejective                      consonant,03B8_02BC

voiceless alveolar        ejective-fricative            consonant,0073_02BC
voiceless alveolar        lateral-ejective-fricative    consonant,026C_2019
voiceless palato-alveolar ejective-fricative            consonant,0283_02BC
voiceless retroflex       ejective-fricative            consonant,0282_02BC
voiceless alveolo-palatal ejective-fricative            consonant,0255_02BC
voiceless velar           ejective-fricative            consonant,0078_02BC
voiceless uvular          ejective-fricative            consonant,03C7_02BC

voiceless alveolar        ejective-affricate            consonant,0074_0361_0073_02BC 0074_035C_0073_02BC
voiceless alveolar        lateral-ejective-affricate    consonant,0074_0361_026C_02BC 0074_035C_026C_02BC
voiceless palato-alveolar ejective-affricate            consonant,0074_0361_0283_02BC 0074_035C_0283_02BC
